序號,券商,價格,買進股數,賣出股數
419,700J 兆豐公益,181,1000,1000
420,700k 兆豐員林,180.5,1000,0
421,700k 兆豐員林,181,50,0
422,700K 兆豐新營,181,0,5024
423,700L 兆豐天母,180.5,22000,0
424,700L 兆豐天母,181,30000,0
425,700M 兆豐桃園,180.5,1000,0
426,700M 兆豐桃園,181,1000,0
427,700N 兆豐埔墘,180.5,2000,0
428,700N 兆豐埔墘,181,1000,0
429,700p 兆豐復興,180.5,2000,2000
430,700r 兆豐寶成,180.5,1000,0
431,700s 兆豐岡山,180,2000,0
432,700s 兆豐岡山,181,1000,0
433,700S 兆豐大同,181,10000,0
434,700V 兆豐新竹,180,1000,0
435,700V 兆豐新竹,180.5,4000,0
436,700V 兆豐新竹,181,22019,0
437,700w 兆豐新莊,180.5,4000,0
438,700w 兆豐新莊,181,1000,0
439,700W 兆豐城中,180,4000,0
440,700W 兆豐城中,180.5,1000,0
441,700W 兆豐城中,181,3000,0
442,700X 兆豐永和,180.5,1000,0
443,700X 兆豐永和,181,2000,0
444,700Z 兆豐高雄,180.5,1000,0
445,700Z 兆豐高雄,181,3000,0
446,7020 信    富,180.5,5000,0
447,7032 致和佳里,181,100,0
448,7034 致和金華,180.5,3000,0
449,7035 致和東門,181,1000,0
450,7036 致和高雄,181,1000,0
451,703A 致和日陞,181,1000,0
452,7670 金    港,181,0,1000
453,7750 北    城,180.5,3000,0
454,7750 北    城,181,10000,1000
455,7790 國票綜合,180.5,2000,0
456,7790 國票綜合,181,1000,0
457,7791 國票台東,180.5,2000,0
458,7791 國票台東,181,2000,0
459,7795 國票南港,181,422,0
460,7797 國票中正,180,1000,0
461,779c 國票敦北,180.5,23000,0
462,779c 國票敦北,181,12000,749
463,779D 國票台南,181,1027,0
464,779e 國票南科,180.5,4000,0
465,779E 國票南崁,181,0,100
466,779G 國票新莊,181,6000,0
467,779H 國票嘉義,181,0,10000
468,779J 國票北高,180,1000,0
469,779J 國票北高,180.5,1000,0
470,779J 國票北高,181,3000,1000
471,779m 國票中港,181,1000,0
472,779n 國票南京,180.5,1000,0
473,779r 國票桃國,180.5,0,4000
474,779r 國票桃國,181,0,1000
