產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
電子零組件業,6207,雷科,3月2日,26.75,-0.15,-0.56%,574,上櫃,10,8.4,22.5,28.5,14.2,鄭再興,黃萌義
電子零組件業,6208,日揚,3月2日,15.4,0.25,1.65%,869,上櫃,10,9.9,15.2,19.8,14.2,吳明田,寇崇善
電子零組件業,6210,慶生,3月2日,35.85,-0.2,-0.55%,37,上櫃,10,3.5,12.6,32.4,14,王年和,朱陳永慶
建材營造業,6212,理銘,3月2日,30.35,0,0%,0,上櫃,10,10.2,31,39.3,14.2,曾森縣,曾森縣
電子零組件業,6217,中探針,3月2日,38.9,-0.9,-2.26%,867,上櫃,10,6.32,24.6,31.1,14.1,陳志峰,陳志峰
通信網路業,6218,豪勉,3月2日,18.9,-0.2,-1.05%,121,上櫃,10,6.43,12.1,37.9,14.1,彭以豪,蘇惠婉
建材營造業,6219,富旺,3月2日,11,0,0%,26,上櫃,10,17.6,19.3,19.9,14,林正雄,林正雄
電子零組件業,6220,岳豐,3月2日,61.6,0.2,0.33%,"3,658",上櫃,10,12.5,76.7,33.5,14.1,葉春榮,林森褔
資訊服務業,6221,晉泰,3月2日,24.5,0.3,1.24%,5,上櫃,10,3.95,9.68,22.7,14.2,林澤鈿,林澤鈿
電腦及週邊設備業,6222,上揚,3月2日,6.75,0,0%,0,上櫃,10,2.88,1.94,30.5,14.1,魏政傑,魏政傑
半導體業,6223,旺矽,3月2日,88.1,-1,-1.12%,"1,497",上櫃,10,7.96,70.1,21.6,14.2,葛長林,郭遠明
電子通路業,6227,茂綸,3月2日,21.7,0.05,0.23%,75,上櫃,10,7.61,16.5,38.1,14.1,吳偉國,吳偉國
電腦及週邊設備業,6228,全譜,3月2日,11.85,0.1,0.85%,22,上櫃,10,2.12,2.51,23.4,14.1,高偉超,曾治元
半導體業,6229,研通,3月2日,13.15,0.05,0.38%,45,上櫃,10,3.61,4.75,25,14.1,許劍郎,黃正華
資訊服務業,6231,系微,3月2日,24.8,-0.15,-0.60%,86,上櫃,10,3.8,9.43,18.5,14.1,王志高,王志高
半導體業,6233,旺玖,3月2日,10.05,0.27,2.76%,"1,169",上櫃,10,8.46,8.5,19.3,14,張景棠,張景棠
光電業,6234,高僑,3月2日,18.55,0.25,1.37%,417,上櫃,10,9.29,17.2,26.8,14,李義隆,李義隆
其他業,6236,康呈,3月2日,29.15,2.65,10%,85,上櫃,10,3.17,9.23,19.4,13.9,吳俊毅,吳俊毅
半導體業,6237,驊訊,3月2日,27,0.15,0.56%,205,上櫃,10,7.79,21,25.2,13.9,鄭期成,鄭期成
其他電子業,6238,勝麗,3月2日,227.5,0,0%,848,上櫃,10,4.89,111,25.8,13.9,劉福洲,辛宗憲
資訊服務業,6240,松崗,3月2日,41,1.5,3.80%,36,上櫃,10,2.31,9.47,19.9,13.8,曹來春,呂志成
通信網路業,6241,易通展,3月2日,16.3,0.25,1.56%,174,上櫃,10,2.37,3.87,24.9,13.9,張福興,張宜慶
生技醫療業,6242,立康,3月2日,47.2,0,0%,0,上櫃,10,2.22,10.5,31.9,13.9,鄭育修,黃大晉
光電業,6244,茂迪,3月2日,30.3,1.2,4.12%,"10,117",上櫃,10,49,149,35.7,13.8,張秉衡,張秉衡
通信網路業,6245,立端,3月2日,44.4,-0.65,-1.44%,506,上櫃,10,10.4,46,30.3,13.8,周逸文,周逸文
光電業,6246,臺龍,3月2日,25.5,1.25,5.15%,78,上櫃,10,2.18,5.55,34.3,13.7,曾祐詮,曾祐詮
其他電子業,6247,淇譽電,3月2日,9.84,0.04,0.41%,62,上櫃,10,6.03,5.94,34.3,13.7,許黃月華,許文銓
鋼鐵工業,6248,沛波,3月2日,26.3,0.3,1.15%,12,上櫃,10,3.07,8.07,32.8,13.5,蔡玉葉,葉俊良
電子零組件業,6259,百徽,3月2日,3.21,-0.34,-9.58%,216,上櫃,10,7.29,2.34,23.2,13.5,陳正國,李代祥
半導體業,6261,久元,3月2日,45.85,-0.35,-0.76%,308,上櫃,10,12.8,58.9,25.6,12.9,汪秉龍,葉瑞斌
通信網路業,6263,普萊德,3月2日,51.4,-0.3,-0.58%,121,上櫃,10,6.25,32.1,24.2,13.5,陳清港,陳清港
建材營造業,6264,富裔,3月2日,7.7,-0.01,-0.13%,53,上櫃,10,11.6,8.96,19.7,13,祝文定,劉建文
電子通路業,6265,方土昶,3月2日,7.39,-0.08,-1.07%,113,上櫃,10,11.8,8.73,19.1,13.4,張政文,張政文
電子零組件業,6266,泰詠,3月2日,12.1,-0.1,-0.82%,205,上櫃,10,9.22,11.2,27,12.8,崔世和,崔世和
電子通路業,6270,倍微,3月2日,10.85,-0.1,-0.91%,188,上櫃,10,7.21,7.83,24.4,13.5,傅江松,傅江松
電子零組件業,6274,台燿,3月2日,41.6,0.7,1.71%,"2,874",上櫃,10,24.2,101,42.8,13.2,辛忠道,陳加南
其他電子業,6275,元山,3月2日,16.2,-0.55,-3.28%,939,上櫃,10,5.44,8.82,30,12.2,陳建榮,陳建榮
電腦及週邊設備業,6276,安鈦克,3月2日,9.6,-0.12,-1.23%,13,上櫃,10,3.37,3.24,38.4,13.3,李益昌,李益昌
電子零組件業,6279,胡連,3月2日,152.5,-1,-0.65%,446,上櫃,10,9.72,148,39.6,13.3,張子雄,胡盛清
電子零組件業,6284,佳邦,3月2日,21.75,0.15,0.69%,129,上櫃,10,10.3,22.3,18.7,12.7,鄭敦仁,曾明燦
半導體業,6287,元隆,3月2日,3,0,0%,0,上櫃,10,30.2,9.05,29.7,13.4,陳清忠,陳弘元
電子零組件業,6290,良維,3月2日,29.1,-0.1,-0.34%,232,上櫃,10,13.1,38.1,44.5,11.7,李淳正,李淳正
半導體業,6291,沛亨,3月2日,3.45,0.3,9.52%,1,上櫃,10,3.3,1.14,25.1,13.1,李明儒,李明儒
電子零組件業,6292,迅德,3月2日,33,-0.2,-0.60%,116,上櫃,10,4.69,15.5,30.8,13.3,陳嘉雄,蕭春桂
其他業,6294,智基,3月2日,124,-0.5,-0.40%,51,上櫃,10,2.03,25.1,20.2,13.1,邱仕榮,邱仕榮
電腦及週邊設備業,6298,崴強,3月2日,17.75,0,0%,917,上櫃,10,16.9,30,19.9,11,郭台強,蔡元豪
資訊服務業,6404,通訊-KY,3月2日,14.55,-0.05,-0.34%,129,上櫃,10,3.79,5.52,5.7,2.6,林維鈞,張上勇
半導體業,6411,晶焱,3月2日,70.3,0.3,0.43%,"2,564",上櫃,10,6.59,46.3,11.1,3,李俊昌,姜信欽
通信網路業,6417,韋僑,3月2日,41.5,-0.1,-0.24%,53,上櫃,10,3.56,14.8,17.9,1.4,曾穎堂,江鴻佑
光電業,6419,京晨科,3月2日,13.9,-0.05,-0.36%,46,上櫃,10,2.2,3.06,10.5,2.2,楊文彬,楊文彬
通信網路業,6426,統新,3月2日,79.5,-1,-1.24%,326,上櫃,10,3.23,25.7,13.6,2.2,劉奇林,藍宏利
電子零組件業,6432,今展科,3月2日,25.35,-0.8,-3.06%,55,上櫃,10,1.95,4.95,16,1.8,王琴賢,王琴賢
半導體業,6435,大中,3月2日,42.7,-0.9,-2.06%,224,上櫃,10,3.31,14.1,8.5,1.2,陳日昇,薛添福
生技醫療業,6446,藥華藥,3月2日,163.5,3,1.87%,681,上櫃,10,21.9,357,16.8,0.6,詹青柳,黃正谷
半導體業,6457,紘康,3月2日,29.9,-0.05,-0.17%,20,上櫃,10,2.87,8.58,9.7,1.7,趙伯寅,趙伯寅
半導體業,6462,神盾,3月2日,248.5,-8.5,-3.31%,991,上櫃,10,6.88,171,9.2,1.2,羅森洲,羅森洲
通信網路業,6465,威潤,3月2日,67,-0.1,-0.15%,17,上櫃,10,2.44,16.3,7.1,1.3,湯潤闊,湯潤闊
